1,0,3,1,1,3,2,0,1,3,2,1,1,
1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,
3,2,1,2,0,1,1,1,0,0,0,0,1,
1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,
3,1,2,0,1,2,1,0,0,1,0,0,1,
1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,
1,2,2,2,2,2,2,0,0,1,0,1,1,
1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,
2,1,2,1,1,0,0,0,0,1,0,0,1,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,2,0,1,1,2,2,0,1,2,5,5,2,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,3,1,2,0,2,0,0,2,0,0,1,
1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,
1,2,1,0,0,0,1,1,1,2,0,0,1,
1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,
1,2,1,2,0,0,1,0,1,0,0,1,1,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
2,1,1,5,2,2,0,2,1,0,0,2,1,
1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,
1,1,1,2,5,6,4,2,2,0,1,1,1,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,1,0,2,2,0,2,0,1,0,1,0,5,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,6,2,0,3,5,1,2,0,1,2,2,5,
1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,
1,2,0,0,0,0,1,1,0,1,1,2,1,
1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,
1,0,0,1,1,1,0,0,1,2,1,0,1,
1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,
1,1,3,1,0,0,0,0,0,1,0,1,1,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
2,0,1,0,0,2,0,1,0,1,1,0,1,
1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
3,0,2,5,4,3,4,2,0,2,0,1,2,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,1,1,0,0,2,3,1,1,0,3,3,1,
1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,
1,3,2,2,0,0,1,3,1,0,1,0,2,
1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,
1,0,0,0,1,1,2,1,1,0,0,0,1,
1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,
1,2,1,0,1,0,3,1,0,0,0,0,1,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,0,1,1,3,5,2,2,7,2,5,7,
1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,
2,0,1,1,1,3,0,0,1,0,0,0,2,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,1,2,0,2,1,1,1,7,0,1,5,8,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,1,0,0,0,1,1,0,1,1,0,2,1,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,1,0,1,1,3,0,0,0,0,0,1,1,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
3,0,0,2,3,0,0,0,1,1,0,1,2,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,0,0,1,0,2,0,1,1,0,1,1,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,1,0,1,1,1,0,0,2,1,3,3,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,2,1,1,2,5,2,2,9,6,18,28,
1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,
1,3,7,4,3,1,0,1,0,0,0,1,1,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
2,1,2,1,1,3,3,2,1,4,8,10,2,
1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,
