2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,2,0,1,0,1,1,2,1,
2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,1,1,3,0,0,1,0,3,2,
2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,1,1,1,2,0,0,0,2,
2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,2,1,0,0,1,1,1,3,2,
2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,2,1,0,0,0,0,3,2,1,
2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,1,0,0,1,1,1,1,2,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,
1,2,4,2,2,3,1,1,0,1,
2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,4,3,0,2,3,3,2,2,
2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,1,2,0,0,0,0,5,2,2,
2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,1,1,1,2,1,0,1,3,1,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
2,1,1,1,0,1,0,0,0,3,
1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,
2,1,0,1,0,2,0,0,1,1,
2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,2,0,1,0,1,1,0,1,2,
1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,
1,0,1,3,0,1,1,0,0,1,
1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,
1,0,1,0,1,2,0,1,1,2,
1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,
1,2,1,0,0,1,1,1,0,1,
2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
2,1,1,2,1,1,2,0,1,2,
1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,
1,0,2,1,0,0,2,2,4,1,
1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,
2,2,1,1,0,0,1,0,1,2,
1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,
3,3,3,3,0,1,1,1,0,1,
1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,
2,1,0,1,0,0,1,1,0,1,
1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,
1,1,1,2,1,0,0,0,1,1,
1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,
2,1,0,1,1,1,0,1,0,1,
1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,
1,1,2,0,1,2,2,0,0,2,
2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,4,6,1,2,2,2,1,9,
1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,
1,3,8,1,3,1,1,0,0,1,
1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,
1,0,1,0,2,0,1,0,1,1,
1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,
1,2,1,0,1,0,1,1,0,1,
1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,
10,6,6,7,4,1,1,3,0,1,
1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,
1,0,1,1,1,0,1,0,1,1,
1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,
1,2,0,3,1,0,0,2,1,1,
1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,
1,2,1,3,1,1,3,0,1,1,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,
1,0,1,1,1,1,2,0,0,1,
1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,
5,2,0,1,2,1,1,1,1,2,
1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,
4,1,0,1,1,0,0,1,0,1,
1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,
2,4,0,0,1,1,1,0,0,1,
1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,
1,2,1,2,2,1,0,0,0,1,
1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,
1,1,1,0,1,2,2,2,0,1,
1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,
1,1,1,1,2,1,1,0,0,1,
1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,
2,1,1,1,0,0,1,1,0,1,
1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,
1,0,0,0,1,1,0,1,1,1,
1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,
2,4,0,4,1,0,0,1,0,1,
1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,
2,2,3,4,2,2,2,0,0,1,
1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,
1,1,1,1,2,1,0,0,0,1,
1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,
3,0,0,5,2,2,2,1,0,1,
1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,
2,2,0,3,1,0,0,2,0,2,
1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,
2,0,2,1,4,4,4,1,2,1,
1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,
1,2,1,2,1,0,0,0,0,1,
1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,
2,2,1,7,2,1,1,1,0,1,
1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,
1,1,0,0,2,3,0,1,0,1,
1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,
1,1,0,1,1,0,1,0,2,2,
1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,
1,1,2,2,2,1,2,0,0,1,
1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,
4,1,2,2,6,3,4,2,3,4,
1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,
4,0,3,4,1,2,3,0,3,1,
1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,
3,5,3,5,2,2,0,2,0,1,
1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,
1,1,1,1,1,0,0,0,0,1,
1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,
2,1,2,1,1,1,1,0,1,1,
1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,
1,4,9,0,1,0,0,2,0,1,
1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,
4,4,4,2,1,2,1,1,0,1,
2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,3,2,6,0,5,4,5,15,
1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,
1,7,3,5,2,1,1,0,0,2,
2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
